a;b;c;result
142;3;35;둔각
31;19;130;둔각
146;5;29;둔각
6;165;9;둔각
34;112;34;둔각
83;73;24;예각
25;78;77;예각
75;104;1;둔각
59;78;43;예각
28;54;98;둔각
20;109;51;둔각
77;4;99;둔각
27;45;108;둔각
109;26;45;둔각
76;103;1;둔각
56;35;89;예각
110;26;44;둔각
5;147;28;둔각
46;9;125;둔각
4;50;126;둔각
29;5;146;둔각
99;35;46;둔각
141;22;17;둔각
121;33;26;둔각
45;111;24;둔각
46;60;74;예각
63;90;27;직각
70;83;27;예각
43;5;132;둔각
98;1;81;둔각
64;60;56;예각
58;108;14;둔각
75;21;84;예각
13;44;123;둔각
53;51;76;예각
52;115;13;둔각
163;5;12;둔각
35;31;114;둔각
1;145;34;둔각
50;50;80;예각
2;33;145;둔각
33;36;111;둔각
19;76;85;예각
122;16;42;둔각
58;100;22;둔각
35;132;13;둔각
70;13;97;둔각
18;87;75;예각
41;108;31;둔각
111;18;51;둔각
23;69;88;예각
125;6;49;둔각
63;73;44;예각
15;22;143;둔각
27;64;89;예각
102;18;60;둔각
40;1;139;둔각
8;39;133;둔각
95;76;9;둔각
29;126;25;둔각
26;152;2;둔각
77;102;1;둔각
80;15;85;예각
42;65;73;예각
25;24;131;둔각
42;7;131;둔각
95;79;6;둔각
2;112;66;둔각
12;50;118;둔각
57;9;114;둔각
16;12;152;둔각
109;6;65;둔각
43;122;15;둔각
57;69;54;예각
7;117;56;둔각
92;3;85;둔각
94;12;74;둔각
8;117;55;둔각
9;28;143;둔각
73;31;76;예각
138;25;17;둔각
24;21;135;둔각
92;64;24;둔각
125;38;17;둔각
19;25;136;둔각
26;80;74;예각
14;30;136;둔각
14;117;49;둔각
42;34;104;둔각
12;148;20;둔각
117;34;29;둔각
88;36;56;예각
145;26;9;둔각
152;1;27;둔각
129;14;37;둔각
123;41;16;둔각
30;53;97;둔각
109;10;61;둔각
55;115;10;둔각
38;33;109;둔각
34;40;106;둔각
104;9;67;둔각
29;61;90;직각
90;23;67;직각
79;84;17;예각
33;122;25;둔각
126;13;41;둔각
96;79;5;둔각
44;99;37;둔각
80;33;67;예각
27;94;59;둔각
75;86;19;예각
37;109;34;둔각
48;50;82;예각
59;35;86;예각
33;51;96;둔각
12;152;16;둔각
28;140;12;둔각
96;68;16;둔각
56;9;115;둔각
150;1;29;둔각
89;51;40;예각
96;44;40;둔각
58;84;38;예각
14;55;111;둔각
66;61;53;예각
109;41;30;둔각
113;64;3;둔각
62;39;79;예각
62;61;57;예각
49;57;74;예각
45;96;39;둔각
23;67;90;직각
12;2;166;둔각
14;24;142;둔각
141;31;8;둔각
127;20;33;둔각
29;67;84;예각
103;11;66;둔각
131;6;43;둔각
112;16;52;둔각
18;17;145;둔각
2;85;93;둔각
53;106;21;둔각
92;48;40;둔각
36;8;136;둔각
5;36;139;둔각
44;100;36;둔각
105;63;12;둔각
5;115;60;둔각
60;22;98;둔각
51;122;7;둔각
10;104;66;둔각
54;33;93;둔각
18;104;58;둔각
17;125;38;둔각
59;15;106;둔각
101;45;34;둔각
106;51;23;둔각
105;10;65;둔각
30;56;94;둔각
4;92;84;둔각
124;30;26;둔각
79;90;11;직각
18;154;8;둔각
7;107;66;둔각
35;100;45;둔각
45;70;65;예각
128;10;42;둔각
6;111;63;둔각
53;28;99;둔각
136;16;28;둔각
90;43;47;직각
87;78;15;예각
70;29;81;예각
105;54;21;둔각
34;3;143;둔각
68;90;22;직각
8;145;27;둔각
4;36;140;둔각
7;104;69;둔각
88;11;81;예각
43;54;83;예각
102;15;63;둔각
62;25;93;둔각
129;6;45;둔각
43;52;85;예각
133;20;27;둔각
58;55;67;예각
